occupation_name,url,category,median_pay_hourly,median_pay_annual,entry_level_education,work_experience,on_the_job_training,number_of_jobs,job_outlook,what_they_do,scraped_at
Lodging managers,https://www.bls.gov/ooh/management/lodging-managers.htm,Management,$32.76     per hour,"$68,130",High school diploma or equivalent,Less than 5 years,None,52000,3% (As fast as average),"Lodging managers ensure that guests have a pleasant experience at a hotel, motel, or other type of facility with accommodations. Lodging managers also plan, direct, or coordinate activities to ensure that the facility is efficient and profitable. Lodging managers typically do the following: A comfortable room and a helpful staff can make being away from home an enjoyable experience for guests. Lodging managers, who occasionally greet and register guests, try to make sure that guests have a good ",2025-10-01T12:42:33.576421
Occupational therapy assistants,https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,Healthcare,$31.76     per hour,"$66,050",See How to Become One,None,See How to Become One,54400,18% (Much faster than average),"Occupational therapy assistants helpoccupational therapistsprovide treatments and procedures to clients. Occupational therapy aides do select or routine tasks, such as preparing treatment rooms, under the direction of occupational therapists or occupational therapy assistants. Occupational therapy assistants typically do the following: Occupational therapy aides typically do the following: Occupational therapy assistantswork with occupational therapists to help clients develop, improve, and main",2025-10-01T12:42:34.144349
Psychiatric technicians,https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm,Healthcare,$20.29     per hour,"$42,200",See How to Become One,See How to Become One,Short-term on-the-job training,182900,16% (Much faster than average),"Psychiatric technicians and aides care for people who have mental or emotional conditions or developmental disabilities. Technicians typically monitor patients’ conditions and provide therapeutic care, such as overseeing their medications. Aides help patients in their daily activities and ensure a safe and clean environment. Psychiatric technicians, sometimes called mental health technicians, typically do the following: Psychiatric aides typically do the following: Some psychiatric technicians a",2025-10-01T12:42:34.732610
Nuclear medicine technologists,https://www.bls.gov/ooh/healthcare/nuclear-medicine-technologists.htm,Healthcare,$46.64     per hour,"$97,020",Associate's degree,None,None,20000,3% (As fast as average),"Nuclear medicine technologists prepare radioactive drugs and administer them to patients for imaging or treatment. They provide technical support to physicians or others who diagnose, care for, and treat patients and to researchers who investigate uses of radioactive drugs. They also may act as emergency responders in the event of a nuclear disaster. Nuclear medicine technologists typically do the following: Nuclear medicine technologists work with radioactive drugs, known as radiopharmaceutical",2025-10-01T12:42:35.300959
Occupational health and safety specialists,https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm,Healthcare,$37.93     per hour,"$78,900",See How to Become One,None,See How to Become One,163700,12% (Much faster than average),"Occupational health and safety specialists and technicians collect data on, analyze, and design improvements to many types of work environments and procedures. Specialists inspect workplaces and enforce adherence to regulations on safety, health, and the environment. Technicians work with specialists to implement and evaluate programs aimed at mitigating risks to workers, property, the environment, and the public. Occupational health and safety specialists and technicians typically do the follow",2025-10-01T12:42:35.885950
Operations research analysts,https://www.bls.gov/ooh/math/operations-research-analysts.htm,Math,$43.89     per hour,"$91,290",Bachelor's degree,None,None,112100,21% (Much faster than average),"Operations research analysts use mathematics and logic to help organizations make informed decisions and solve problems. Operations research analysts typically do the following: Operations research analysts may be involved in many aspects of an organization. For example, they may help managers decide how to allocate resources, develop production schedules, oversee the supply chain, and set prices. To begin a project, analysts first identify the problem to be solved or the processes to be improve",2025-10-01T12:42:36.452471
Bus and truck mechanics and diesel engine specialists,https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm,Installation Maintenance And Repair,$29.15     per hour,"$60,640",High school diploma or equivalent,None,Long-term on-the-job training,319900,2% (Slower than average),"Diesel service technicians and mechanics (also known asdiesel technicians) inspect, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engine. Diesel service technicians and mechanics typically do the following: Because of their efficiency and durability, diesel engines have become the standard in powering trucks and buses. Other heavy vehicles and mobile equipment, including bulldozers and cranes, also are powered by diesel engines, as are many commercial boats and ",2025-10-01T12:42:37.013883
Accountants and auditors,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,Business And Financial,$39.27     per hour,"$81,680",Bachelor's degree,None,None,1579800,5% (Faster than average),"Accountants and auditors prepare and examine financial records, identify potential areas of opportunity and risk, and provide solutions for businesses and individuals. They ensure that financial records are accurate, that financial and data risks are evaluated, and that taxes are paid properly. They also assess financial operations and work to help ensure that organizations run efficiently. Accountants and auditors typically do the following: Accountants and auditors may use technology, such as ",2025-10-01T12:42:37.587947
Database administrators,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,Computer And Information Technology,$59.18     per hour,"$123,100",Bachelor's degree,See How to Become One,None,144900,4% (As fast as average),"Database administrators and architects create or organize systems to store and secure a variety of data, such as financial information and customer shipping records. They also make sure that the data are available to authorized users. Database administrators and architects typically do the following: Database administrators, often called DBAs, make sure that data analysts and other users can easily use databases to find the information they need. They also ensure that systems perform as they sho",2025-10-01T12:42:38.157254
Paralegals and legal assistants,https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm,Legal,$29.33     per hour,"$61,010",Associate's degree,None,None,376200,0% (Little or no change),"Paralegals and legal assistants supportlawyersby performing a variety of tasks, such as maintaining and organizing files, conducting legal research, and drafting documents. Paralegals and legal assistants typically do the following: Paralegals and legal assistants help lawyers prepare for hearings, trials, and other proceedings. For example, they may conduct legal research, write reports and other documents, and file materials related to trials or cases. Specific duties for paralegals and legal ",2025-10-01T12:42:38.730172
Skincare specialists,https://www.bls.gov/ooh/personal-care-and-service/skincare-specialists.htm,Personal Care And Service,$19.98     per hour,"$41,560",Postsecondary nondegree award,None,None,97400,7% (Much faster than average),"Skincare specialists, also known asestheticians, provide cleansing and other face and body treatments to enhance a person’s appearance. Skincare specialists typically do the following: Skincare specialists give facials, full-body treatments, and head and neck massages to improve the health and appearance of the skin. Some provide other skincare treatments to remove dead or dry skin, such as masks, peels, and scrubs. They also may provide eyelash services, makeup application, and hair removal. In",2025-10-01T12:42:39.290395
Brickmasons and blockmasons,https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,Construction And Extraction,$27.21     per hour,"$56,600",See How to Become One,None,See How to Become One,294300,2% (Slower than average),"Masonry workers, also known asmasons,use bricks, concrete and concrete blocks, and natural and manmade stones to build walkways, walls, and other structures. Masons typically do the following: Masons build structures with brick, block, and stone, some of the most common and durable materials used in construction. They also use concrete—a mixture of cement, sand, gravel, and water—as the foundation for everything from patios and floors to dams and roads. The following are examples of types of mas",2025-10-01T12:42:39.841665
Sheet metal workers,https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,Construction And Extraction,$29.26     per hour,"$60,850",High school diploma or equivalent,None,Apprenticeship,127000,2% (Slower than average),"Sheet metal workers fabricate or install products that are made from thin metal sheets, such as ducts used in heating and air conditioning systems. Sheet metal workers typically do the following: Sheet metal workers use pieces of thin steel, aluminum, or other alloyed metal in both manufacturing and construction. Sheet metal products include heating and air conditioning ducts, rain gutters, outdoor signs, and siding. The following are examples of types of sheet metal workers: Fabrication sheet m",2025-10-01T12:42:40.391655
Musicians and singers,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,Entertainment And Sports,$42.45     per hour,$42,No formal educational credential,None,Long-term on-the-job training,169800,1% (Slower than average),"Musicians and singers play instruments or sing for live audiences and in recording studios. They perform a variety of genres, such as classical, jazz, and rock. Musicians and singers typically do the following: Musicians play one or more instruments. To make themselves more marketable, many become proficient in multiple musical instruments or styles. Some diversify by both singing and playing instruments. Musicians play solo or in orchestras, bands, or limited-size groups, such as trios. Those i",2025-10-01T12:42:40.964252
Architectural and engineering managers,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm,Management,$80.64     per hour,"$167,740",Bachelor's degree,5 years or more,None,212500,4% (As fast as average),"Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering. Architectural and engineering managers typically do the following: Architectural and engineering managers use their knowledge of architecture or engineering to oversee a variety of activities. They may direct and coordinate construction or manufacturing related to production, operations, quality assurance, testing, or maintenance. As part of their oversight responsibiliti",2025-10-01T12:42:41.517642
Athletes and sports competitors,https://www.bls.gov/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm,Entertainment And Sports,,"$62,360",No formal educational credential,None,Long-term on-the-job training,19100,5% (Faster than average),"Athletes and sports competitors participate in organized, officiated sporting events to entertain spectators. Athletes and sports competitors typically do the following: Many people dream of becoming a professional athlete. Few people, however, make a full-time living from professional athletics—and when they do, professional athletes often have short careers with little job security. When performing, athletes and sports competitors must understand the strategies involved in their sport while fo",2025-10-01T12:42:42.076632
Biochemists and biophysicists,https://www.bls.gov/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm,Life Physical And Social Science,$49.83     per hour,"$103,650",Doctoral or professional degree,None,None,35600,6% (Faster than average),"Biochemists and biophysicists study the chemical and physical principles of living things and of biological processes, such as cell development, growth, heredity, and disease. Biochemists and biophysicists typically do the following: Biochemists and biophysicists use advanced technologies, such as lasers and fluorescent microscopes, to conduct scientific experiments and analyses. They also use x rays and computer modeling software to determine the three-dimensional structures of proteins and oth",2025-10-01T12:42:42.654535
Bioengineers and biomedical engineers,https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,Architecture And Engineering,$51.42     per hour,"$106,950",Bachelor's degree,None,None,22200,5% (Faster than average),"Bioengineers and biomedical engineers combine engineering principles with sciences to design and create equipment, devices, computer systems, and software. Bioengineers and biomedical engineers typically do the following: Bioengineers and biomedical engineers frequently work in research and development or quality assurance. The work of bioengineers spans many fields. For example, although their expertise is in engineering and biology, they often design computer software to run complicated instru",2025-10-01T12:42:43.218959
Boilermakers,https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,Construction And Extraction,$35.26     per hour,"$73,340",High school diploma or equivalent,None,Apprenticeship,10400,-2% (Decline),"Boilermakers assemble, install, maintain, and repair boilers, closed vats, and other large vessels or containers that hold liquids and gases. Boilermakers typically do the following: Boilers, tanks, and vats are used in many buildings, factories, and ships. Boilers heat water or other fluids under extreme pressure to generate electric power and to provide heat. Large tanks and vats are used to process and store chemicals, oil, beer, and hundreds of other products. Boilers are made of steel, iron",2025-10-01T12:42:43.786906
Calibration technologists and technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm,Installation Maintenance And Repair,$31.27     per hour,"$65,040",Associate's degree,None,None,15800,5% (Faster than average),"Calibration technologists and technicians inspect, adjust, and test measurement devices against standards, such as those used in manufacturing, healthcare, and other industries. Calibration technologists and technicians ensure precision across an industry by applying the principles of measurement science to processes, systems, and products. They work with a variety of instruments, meters, gauges, and other measurement devices. The devices that these workers calibrate are used in a range of indus",2025-10-01T12:42:44.336979
Marine engineers and naval architects,https://www.bls.gov/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm,Architecture And Engineering,$50.80     per hour,"$105,670",Bachelor's degree,None,None,8500,6% (Faster than average),"Marine engineers and naval architects design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems. Marine engineers and naval architects typically do the following: Marine engineers and naval architects focus on the design and production processes of water vehicles. They also may work on offshore projects, such as oil rigs and wind turbines, or on coastal structures, such as ports and seawalls. Responsibilities",2025-10-01T12:42:44.894295
Radiation therapists,https://www.bls.gov/ooh/healthcare/radiation-therapists.htm,Healthcare,$49.03     per hour,"$101,990",Associate's degree,None,None,19200,2% (Slower than average),"Radiation therapists administer doses of radiation to patients who have cancer or other serious diseases. Radiation therapists typically do the following: Radiation therapists operate machines, such as linear accelerators, to deliver concentrated radiation therapy to the region of a patient’s tumor. Radiation treatment may shrink or eliminate cancers and tumors. Radiation therapists are part of the oncology teams that treat patients with cancer. They often work with the following specialists:",2025-10-01T12:42:45.449127
Real estate brokers,https://www.bls.gov/ooh/sales/real-estate-brokers-and-sales-agents.htm,Sales,$28.35     per hour,"$58,960",High school diploma or equivalent,See How to Become One,See How to Become One,532200,3% (As fast as average),"Real estate brokers and sales agents help clients buy, sell, and rent properties. Although brokers and agents do similar work, brokers are licensed to manage their own real estate businesses. Sales agents must work with a real estate broker. Real estate brokers and sales agents typically do the following: Because of the complexity of buying or selling a residential or commercial property, people often seek help from real estate brokers and sales agents. Most real estate brokers and sales agents ",2025-10-01T12:42:46.013085
Recreational therapists,https://www.bls.gov/ooh/healthcare/recreational-therapists.htm,Healthcare,$28.98     per hour,"$60,280",Bachelor's degree,None,None,16100,3% (As fast as average),"Recreational therapists plan, direct, and coordinate recreation-based medical treatment programs to help maintain or improve patients’ physical, social, and emotional well-being. These therapists use a variety of techniques, including art expression; drama, music, and dance; sports and games; aquatics; and community outings. Recreational therapists typically do the following: Recreational therapists use recreation-based medical treatment to help people reduce depression, stress, and anxiety; rec",2025-10-01T12:42:46.594974
Rehabilitation counselors,https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm,Community And Social Service,$22.17     per hour,"$46,110",Master's degree,None,None,91900,1% (Slower than average),"Rehabilitation counselors work with clients to overcome or manage the personal, social, or psychological effects of disabilities on employment or independent living. Rehabilitation counselors typically do the following: Rehabilitation counselors help people with disabilities at various stages in their lives. For example, some work with students to develop strategies for transitioning from school to work. Others help veterans to cope with the mental or physical effects of their military service. ",2025-10-01T12:42:47.160515
Coaches and scouts,https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm,Entertainment And Sports,,"$45,920",Bachelor's degree,None,None,306500,6% (Faster than average),"Coaches teach amateur and professionalathletesthe skills they need to succeed at their sport. Scouts look for new players, evaluating their skills and likelihood for success at the amateur, college, or professional level. Many coaches also are involved in scouting potential athletes for their team. Coaches typically do the following: Coaches teach amateur and professional athletes the fundamental skills of individual and team sports. They hold practice and training sessions to improve the athlet",2025-10-01T12:42:47.736413
Instructional coordinators,https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,Education Training And Library,$35.92     per hour,"$74,720",Master's degree,5 years or more,None,232600,1% (Slower than average),"Instructional coordinators oversee school curriculums and teaching standards. They develop educational material, implement it with teachers and principals, and assess its effectiveness. Instructional coordinators typically do the following: Instructional coordinators, also known ascurriculum specialists, evaluate the effectiveness of curriculums and teaching techniques established by school boards, states, or federal regulations. They observe teachers in the classroom, review student test data, ",2025-10-01T12:42:48.306419
Stationary engineers and boiler operators,https://www.bls.gov/ooh/production/stationary-engineers-and-boiler-operators.htm,Production,$36.15     per hour,"$75,190",High school diploma or equivalent,None,Long-term on-the-job training,33300,2% (Slower than average),"Stationary engineers and boiler operators control stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or for industrial purposes. Stationary engineers and boiler operators typically do the following: Most large commercial facilities have extensive heating, ventilation, and air-conditioning systems that maintain comfortable temperatures all year long. Industrial plants often have additional facilities to provide electrical power, steam, or other services.",2025-10-01T12:42:48.868629
Concierges,https://www.bls.gov/ooh/personal-care-and-service/concierges.htm,Personal Care And Service,$17.94     per hour,"$37,320",High school diploma or equivalent,None,Moderate-term on-the-job training,45600,2% (Slower than average),"Concierges help people at hotels, apartments, or office buildings with a variety of personal services. They may take messages, arrange for transportation, give advice on local restaurants and activities, provide business services, or monitor requests for housekeeping or maintenance. Concierges typically do the following: Concierges welcome people when they arrive at an establishment. They create a friendly and positive environment and help to ensure a pleasant experience. They offer information,",2025-10-01T12:42:49.419823
Court reporters and simultaneous captioners,https://www.bls.gov/ooh/legal/court-reporters.htm,Legal,$32.36     per hour,"$67,310",Postsecondary nondegree award,None,Short-term on-the-job training,17700,0% (Little or no change),"Court reporters create word-for-word transcriptions at trials, depositions, administrative hearings, and other legal proceedings. Simultaneous captioners provide similar transcriptions for television or for presentations in other settings, such as press conferences and business meetings, for people who are deaf or hard of hearing. Court reporters and simultaneous captioners typically do the following: Court reporters have a critical role in legal proceedings, which require an exact record of wha",2025-10-01T12:42:49.990209
Customer service representatives,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,Office And Administrative Support,$20.59     per hour,"$42,830",High school diploma or equivalent,None,Short-term on-the-job training,2814000,-5% (Decline),"Customer service representatives work with customers to resolve complaints, process orders, and provide information about an organization’s products and services. Customer service representatives typically do the following: Customer service representatives answer questions or requests from customers or the public. They typically provide services by phone, but some also interact with customers face to face, by email or text, via live chat, and through social media. The specific duties of customer",2025-10-01T12:42:50.547435
Desktop publishers,https://www.bls.gov/ooh/office-and-administrative-support/desktop-publishers.htm,Office And Administrative Support,$25.78     per hour,"$53,620",Associate's degree,None,Short-term on-the-job training,5000,-12% (Decline),"Desktop publishers use computer software to design page layouts for newspapers, books, brochures, and other items that are printed or published online. Desktop publishers typically do the following: Desktop publishers use publishing software to create page layouts for print or electronic publication. They may edit text by correcting its spelling, punctuation, and grammar. Desktop publishers often work with other design, media, or marketing workers, includingwriters,editors, andgraphic designers.",2025-10-01T12:42:51.114482
Data scientists,https://www.bls.gov/ooh/math/data-scientists.htm,Math,$54.13     per hour,"$112,590",Bachelor's degree,None,None,245900,34% (Much faster than average),"Data scientists use analytical tools and techniques to extract meaningful insights from data. Data scientists typically do the following: Data scientists often begin a project by gathering or identifying relevant data sources, such as surveys. They may use a variety of methods to obtain data, including through access to other organizations’ databases or by using web-scraping tools (software that extracts specific information from websites). They may start with large, unstructured datasets, commo",2025-10-01T12:42:51.719969
Social and community service managers,https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,Management,$37.61     per hour,"$78,240",Bachelor's degree,Less than 5 years,None,219800,6% (Faster than average),"Social and community service managers coordinate and supervise programs and organizations that support public well-being. They direct workers who provide these services to the public. Social and community service managers typically do the following: Social and community service managers work for a variety of organizations. Some of these organizations focus on working with a particular demographic, such as children, people who are homeless, older adults, or veterans. Others focus on helping peopl",2025-10-01T12:42:52.298974
Social and human service assistants,https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,Community And Social Service,$21.69     per hour,"$45,120",High school diploma or equivalent,None,Short-term on-the-job training,449600,6% (Faster than average),"Social and human service assistants provide client services, including support for families, in a wide variety of fields, such as psychology, rehabilitation, and social work. They assist other workers, such associal workers, and they help clients find benefits or community services. Social and human service assistants typically do the following: Social and human service assistants have many job titles, includingcase work aide,clinical social work aide,family service assistant,social work assista",2025-10-01T12:42:52.863316
Recreation workers,https://www.bls.gov/ooh/personal-care-and-service/recreation-workers.htm,Personal Care And Service,$17.01     per hour,"$35,380",High school diploma or equivalent,None,Short-term on-the-job training,327700,4% (As fast as average),"Recreation workers organize, conduct, and promote a variety of group activities for leisure and other purposes. Activities may include arts and crafts, sports, or music. Recreation workers typically do the following: Duties of recreation workers vary by job title, level of training, and other factors. For example,camp counselorswork directly with youths in overnight or day camps and guide participants in activities and interactions with others. Recreation workers may specialize in a particular a",2025-10-01T12:42:53.436934
"Plumbers, pipefitters, and steamfitters",https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,Construction And Extraction,$30.27     per hour,"$62,970",High school diploma or equivalent,None,Apprenticeship,504500,4% (As fast as average),"Plumbers, pipefitters, and steamfitters install and repair piping fixtures and systems. Plumbers, pipefitters, and steamfitters typically do the following: Although plumbers, pipefitters, and steamfitters have distinct responsibilities, they often have similar duties. For example, they all install pipes and fittings that carry water, gas, and other fluids and substances. They determine the necessary materials for a job, connect pipes, and test pressure to ensure that a pipe system is airtight an",2025-10-01T12:42:53.999370
Health education specialists,https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,Community And Social Service,$30.29     per hour,"$63,000",Bachelor's degree,None,None,71800,4% (As fast as average),"Health education specialists teach people about behaviors that promote wellness. They develop strategies to improve the well-being of individuals and communities. Health education specialists typically do the following: Health education specialists have different duties depending on where they work. The following are descriptions of duties for health education specialists, by work setting: Inhealthcare facilities, health education specialists may work one-on-one with patients or their families. ",2025-10-01T12:42:54.561523
Dietitians and nutritionists,https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm,Healthcare,$35.50     per hour,"$73,850",Bachelor's degree,None,Internship/residency,90900,6% (Faster than average),"Dietitians and nutritionists are experts in the use of food and nutrition to promote health and manage disease. They plan and conduct food service or nutritional programs to help people lead healthy lives. Dietitians and nutritionists typically do the following: Dietitians and nutritionists evaluate the health of their clients through nutrition assessment and diagnostic laboratory testing. Based on their findings, dietitians and nutritionists advise clients on behavior modifications and interven",2025-10-01T12:42:55.129641
Historians,https://www.bls.gov/ooh/life-physical-and-social-science/historians.htm,Life Physical And Social Science,$35.60     per hour,"$74,050",Master's degree,None,None,3400,2% (Slower than average),"Historians research, analyze, interpret, and write about the past by studying historical documents and sources. Historians typically do the following: Historians conduct research and analysis for governments, businesses, individuals, nonprofits, historical associations, and other organizations. They use a variety of sources in their work, including government and institutional records, newspapers, photographs, interviews, films, and unpublished manuscripts, such as personal diaries, letters, and",2025-10-01T12:42:55.732019
Loan officers,https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,Business And Financial,$35.66     per hour,"$74,180",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,301400,2% (Slower than average),"Loan officers evaluate, authorize, or recommend approval of applications for personal and business loans. Loan officers typically do the following: Loan officers use a process called underwriting to assess whether applicants qualify for loans. After collecting and verifying all the required financial documents, loan officers evaluate the information to determine an applicant’s need for a loan and ability to repay it. Most firms use underwriting software, which produces a loan recommendation base",2025-10-01T12:42:56.303582
Electricians,https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,Construction And Extraction,$29.98     per hour,"$62,350",High school diploma or equivalent,None,Apprenticeship,818700,9% (Much faster than average),"Electricians install, maintain, and repair electrical power, communications, lighting, and control systems in homes, businesses, and factories. Electricians typically do the following: Almost every building has an electrical power, communications, lighting, and control system that is installed during construction and maintained after that. These systems power the lights, appliances, and equipment that make people’s lives and jobs easier and more comfortable. Installing electrical systems in newl",2025-10-01T12:42:56.869413
"Architects, except landscape and naval",https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,Architecture And Engineering,$46.49     per hour,"$96,690",Bachelor's degree,None,Internship/residency,123600,4% (As fast as average),"Architects plan and design houses, factories, office buildings, and other structures. Architects typically do the following: People need places to live, work, play, learn, shop, and eat. Architects are responsible for designing these places. They work on public or private projects and design both indoor and outdoor spaces. Architects can be commissioned to design anything from a single room to an entire complex of buildings. Architects discuss with clients the objectives, requirements, and budge",2025-10-01T12:42:57.439871
Computer network architects,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm,Computer And Information Technology,$62.69     per hour,"$130,390",Bachelor's degree,5 years or more,None,179200,12% (Much faster than average),"Computer network architects design and implement data communication networks, including local area networks (LANs), wide area networks (WANs), and intranets. These networks range from small connections between two offices to virtual capabilities such as a cloud infrastructure that serves multiple customers. Computer network architects typically do the following: Computer network architects, ornetwork engineers, design and deploy computer and information networks. They consider an organization’s ",2025-10-01T12:42:58.023389
Wind turbine service technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,Installation Maintenance And Repair,$30.09     per hour,"$62,580",Postsecondary nondegree award,None,Long-term on-the-job training,13600,50% (Much faster than average),"Wind turbine service technicians, also known aswindtechs, maintain and repair wind turbines. Wind turbine service technicians typically do the following: Windtechs maintain and fix the components of wind turbines, large mechanical structures that convert wind energy into electricity. The three major components of each turbine are a tower; a nacelle, which contains the equipment that generates electricity; and three blades attached to the nacelle. Most of a windtech’s work focuses on maintaining ",2025-10-01T12:42:58.585558
Medical equipment repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm,Installation Maintenance And Repair,$30.11     per hour,"$62,630",Associate's degree,None,Moderate-term on-the-job training,68000,13% (Much faster than average),"Medical equipment repairers install, maintain, and repair patient care equipment. Medical equipment repairers typically do the following: Medical equipment repairers, also known asbiomedical equipment technicians(BMETs), repair a wide range of electronic, electromechanical, and hydraulic equipment used in hospitals and health practitioners’ offices. They may work on patient monitors, defibrillators, ventilators, anesthesia machines, and other life-supporting equipment. They also may work on medi",2025-10-01T12:42:59.151364
"Secondary school teachers, except special and career/technical education",https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,Education Training And Library,,"$64,580",Bachelor's degree,None,None,1094500,-2% (Decline),"High school teachers help prepare students for life after graduation. They teach academic lessons and various skills that students will need to attend college or to enter the job market. High school teachers typically do the following: High school teachers generally teach students from the 9th through 12th grades. They usually specialize in one area. Some teach core subjects, such as math, science, or history. Others specialize in elective courses, such as art, music, or physical education. They",2025-10-01T12:42:59.720986
Zoologists and wildlife biologists,https://www.bls.gov/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm,Life Physical And Social Science,$35.03     per hour,"$72,860",Bachelor's degree,None,None,18200,2% (Slower than average),"Zoologists and wildlife biologists study animals, those both in captivity and in the wild, and how they interact with their ecosystems. They focus primarily on undomesticated animals and their behavior, as well as on the impact humans have on wildlife and natural habitats. Zoologists and wildlife biologists typically do the following: Zoologists’ and wildlife biologists’ study of animals includes conducting scientific tests and experiments, such as taking blood samples to assess an animal’s heal",2025-10-01T12:43:00.284062
Human resources specialists,https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm,Business And Financial,$35.05     per hour,"$72,910",Bachelor's degree,None,None,944300,6% (Faster than average),"Human resources specialists recruit, screen, and interview job applicants and place newly hired workers in jobs. They also may handle compensation and benefits, training, and employee relations. Human resources specialists typically do the following: Human resources specialists often are trained in tasks for all disciplines of a human resources department. In addition to recruiting applicants and placing workers, human resources specialists help guide employees through human resources procedures",2025-10-01T12:43:00.849992
Labor relations specialists,https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm,Business And Financial,$44.95     per hour,"$93,500",Bachelor's degree,Less than 5 years,None,65400,0% (Little or no change),"Labor relations specialists (also called employee relations specialists) resolve employee-management disputes, negotiate labor contracts, and coordinate grievance procedures regarding worker complaints. They may offer input on issues such as wages and salaries, nonwage benefits, and union or management practices. Labor relations specialists typically do the following: Labor relations specialists work with representatives for an organization’s management and employees. In addition to leading meet",2025-10-01T12:43:01.413528
Registered nurses,https://www.bls.gov/ooh/healthcare/registered-nurses.htm,Healthcare,$45.00     per hour,"$93,600",Bachelor's degree,None,None,3391000,5% (Faster than average),"Registered nurses (RNs) provide and coordinate patient care, educate patients and the public about various health conditions, and provide advice and emotional support to patients and their families. Registered nurses typically do the following: Most registered nurses work as part of a team withphysiciansand other healthcare specialists. Some registered nurses overseelicensed practical nurses,nursing assistants, andhome health aides. Registered nurses’ duties and titles often depend on where they",2025-10-01T12:43:01.978572
Dental hygienists,https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,Healthcare,$45.32     per hour,"$94,260",Associate's degree,None,None,221600,7% (Much faster than average),"Dental hygienists examine patients for signs of oral diseases, such as gingivitis, and provide preventive care, including oral hygiene. They also educate patients about oral health. Dental hygienists typically do the following: Dental hygienists use many types of tools—including hand, power, and ultrasonic tools—in their work. In some cases, they use lasers. Hygienists remove stains with an air-polishing device, which sprays a combination of air, water, and baking soda. They polish teeth with a ",2025-10-01T12:43:02.551050
Electrical power-line installers and repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/line-installers-and-repairers.htm,Installation Maintenance And Repair,$44.50     per hour,"$92,560",High school diploma or equivalent,None,Long-term on-the-job training,127400,7% (Much faster than average),"Electrical power-line installers and repairers install or repair cables or wires used in electrical power or distribution systems. They also may erect poles or transmission towers. Electrical power-line installers and repairers typically do the following: Electrical power-line installers and repairers install and maintain the power grid: the network of cables and wires that moves electricity from generating plants to consumers. They routinely work with high-voltage electricity, which requires ex",2025-10-01T12:43:03.122601
